name,role,batting_style,bowling_style
Finn Allen,WICKETKEEPER,Right,no-bowling
Ayush Mhatre,Batter,Right,right off-spin
Priyansh Arya,Batter,Left,no-bowling
Angkrish Raghuvanshi,Batter,Right,left off-spin
Vaibhav Suryavanshi,Batter,Left,left off-spin
Nehal Wadhera,Batter,Left,right leg-spin
Swastik Chikara,BATTER,Right,right off-spin
Abhimanyu Easwaran,BATTER,Right,right leg-spin
Virat Singh,BATTER,Left,right medium-fast
Akash Singh,Bowler (Left-arm Fast),Right,left fast
Anshul Kamboj,Bowler (Right-arm Fast),Right,right medium-fast
Rasikh Salam,Bowler (Right-arm Fast),Right,right medium-fast
Gurjapneet Singh,Bowler (Left-arm Fast),Right,left medium-fast
Kartik Tyagi,Bowler,Right,right fast
Mukesh Choudhary,Bowler (Left-arm Medium),Left,left medium-fast
Prince Yadav,Bowler (Right-arm Fast),Right,right medium-fast
Naman Dhir,All-Rounder,Right,right off-spin
Corbin Bosch,All-Rounder,Right,right fast
Prashant Veer,ALL-ROUNDER,Left,left off-spin
Harsh Dubey,All-Rounder,Left,left off-spin
Ramakrishna Ghosh,All Rounder,Right,right medium-fast
Urvil Patel,Wicketkeeper-Batter,Right,no-bowling
Kartik Sharma,WICKETKEEPER,Left,no-bowling
Mukul Choudhary,WICKETKEEPER,Right,no-bowling
Robin Minz,Wicketkeeper-Batter,Left,no-bowling
Kumar Kushagra,Wicketkeeper-Batter,Right,no-bowling
Anuj Rawat,Wicketkeeper-Batter,Left,no-bowling
Kunal Rathore,Wicketkeeper-Batter,Left,no-bowling
Suyash Sharma,Bowler (Leg-spin),Right,right leg-spin
Zeeshan Ansari,Bowler (Leg-spin),Right,right leg-spin
Digvesh Rathi,Bowler,Right,right off-spin
Mayank Markande,Bowler,Right,right leg-spin
M Siddharth,Bowler (Left-arm Spin),Right,left off-spin
Prithvi Shaw,BATTER,Right,no-bowling
Steve Smith,BATTER,Right,right leg-spin
Reeza Hendricks,BATTER,Right,right off-spin
Sameer Rizvi,Batter,Right,right off-spin
Karun Nair,Batter,Right,right off-spin
Sarfaraz Khan,BATTER,Right,right leg-spin
Jake Fraser-McGurk,BATTER,Right,right leg-spin
Devon Conway,BATTER,Left,right medium-fast
Umran Malik,Bowler (Express Pace),Right,right fast
Arshad Khan,Bowler (Left-arm Fast),Left,left medium-fast
Mohsin Khan,Bowler (Left-arm Fast),Left,left fast
Kyle Jamieson,BOWLER,Right,right fast
T Natarajan,Bowler (Left-arm Medium),Left,left medium-fast
Vaibhav Arora,Bowler (Right-arm Fast),Right,right medium-fast
Ishant Sharma,Bowler (Right-arm Fast),Right,right fast
Avesh Khan,Bowler (Right-arm Fast),Right,right fast
Kamindu Mendis,All-Rounder,Left,left off-spin
Riyan Parag,All-Rounder,Right,right leg-spin
Krunal Pandya,All-Rounder (Spin),Left,left off-spin
Shahbaz Ahmed,All-Rounder (Spin),Left,left off-spin
Shreyas Gopal,All-Rounder (Leg-spin),Right,right leg-spin
Vipraj Nigam,All-Rounder,Right,right leg-spin
Jamie Overton,All-Rounder,Right,right fast
Sherfane Rutherford,All-Rounder,Left,right medium-fast
Pathum Nissanka,BATTER,Right,no-bowling
Tim Robinson,BATTER,Right,right medium-fast
Rahul Tripathi,BATTER,Right,right medium-fast
Mayank Agarawal,BATTER,Right,no-bowling
Matthew Breetzke,Batter,Right,no-bowling
Eshan Malinga,Bowler (Right-arm Fast),Left,right fast
Dushmantha Chameera,Bowler (Right-arm Fast),Right,right fast
Mustafizur Rahman,BOWLER,Left,left fast
Kuldeep Sen,Bowler (Right-arm Fast),Right,right fast
Navdeep Saini,Bowler (Right-arm Fast),Right,right fast
Akash Deep,BOWLER,Right,right fast
Spencer Johnson,BOWLER,Left,left fast
Shivam Mavi,BOWLER,Right,right fast
Deepak Hooda,ALL-ROUNDER,Right,right off-spin
Shardul Thakur,ALL-ROUNDER,Right,right medium-fast
Jason Holder,ALL-ROUNDER,Right,right fast
Daryl Mitchell,ALL-ROUNDER,Right,right medium-fast
Daniel Sams,ALL-ROUNDER,Right,left fast
Sean Abbott,ALL-ROUNDER,Right,right fast
Matthew Short,ALL-ROUNDER,Right,right off-spin
Michael Bracewell,ALL-ROUNDER,Left,right off-spin
Abhinav Manohar,BATTER,Right,right leg-spin
Atharva Taide,BATTER,Left,left off-spin
Anmolpreet Singh,BATTER,Right,right off-spin
Jason Behrendorff,BOWLER,Right,left fast
Lockie Ferguson,BOWLER,Right,right fast
Umesh Yadav,BOWLER,Right,right fast
Alzarri Joseph,BOWLER,Right,right fast
Shamar Joseph,BOWLER,Left,right fast
Richard Gleeson,BOWLER,Right,right fast
Nathan Ellis,BOWLER,Right,right fast
Jofra Archer,BOWLER,Right,right fast
Jhye Richardson,BOWLER,Right,right fast
Dasun Shanaka,ALL-ROUNDER,Right,right medium-fast
Dwaine Pretorius,ALL-ROUNDER,Right,right medium-fast
Fazalhaq Farooqi,ALL-ROUNDER,Right,left fast
Zakary Foulkes,ALL-ROUNDER,Right,right medium-fast
